run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,2,"[4003, 6171]","[2619, 473]","[300, 72]",2619,300,300,,1895.505,
1,OK,2,"[9237, 8023]","[3, 11]","[87, 138]",11,138,138,,864.452,
2,OK,2,"[8, 3781]","[42, 22]","[27, 285]",42,285,285,,1738.638,
3,OK,2,"[3819, 1627]","[52, 391]","[154, 439]",391,439,439,,2701.781,
4,OK,2,"[4109, 9009]","[26, 11]","[171, 44]",26,171,171,,1049.315,
5,OK,2,"[7641, 9766]","[24, 19]","[332, 165]",24,332,332,,2050.935,
6,OK,2,"[9680, 957]","[8, 41]","[236, 611]",41,611,611,,3761.47,
7,OK,2,"[593, 688]","[1025, 55]","[152, 529]",1025,529,529,,3246.736,
8,OK,2,"[9710, 9343]","[39, 14]","[768, 139]",39,768,768,,4678.27,
9,OK,2,"[5863, 4897]","[7, 3389]","[334, 107]",3389,334,334,,2072.213,
10,OK,2,"[9075, 251]","[221, 1300]","[767, 277]",1300,767,767,,4727.236,
11,OK,2,"[5671, 6681]","[18, 13]","[648, 250]",18,648,648,,3980.386,
12,OK,2,"[1452, 4762]","[229, 138]","[115, 224]",229,224,224,,1386.727,
13,OK,2,"[6446, 2706]","[9, 7]","[104, 47]",9,104,104,,644.463,
14,OK,2,"[8328, 6759]","[18, 1853]","[104, 306]",1853,306,306,,1913.235,
15,OK,2,"[9435, 9584]","[19, 25]","[227, 226]",25,227,227,,1431.37,
16,OK,2,"[464, 2840]","[79, 42]","[451, 257]",79,451,451,,2795.887,
17,OK,2,"[7847, 5796]","[13, 570]","[19, 184]",570,184,184,,1129.906,
18,OK,2,"[8404, 8505]","[47, 136]","[164, 125]",136,164,164,,1026.298,
19,OK,2,"[8566, 9965]","[4, 20]","[245, 126]",20,245,245,,1514.079,
20,OK,2,"[5910, 1003]","[10, 1784]","[320, 150]",1784,320,320,,1996.394,
21,OK,2,"[5031, 9264]","[18, 13]","[237, 198]",18,237,237,,1485.326,
22,OK,2,"[78, 1245]","[72, 11]","[373, 390]",72,390,390,,2455.79,
23,OK,2,"[5405, 7389]","[22, 381]","[191, 278]",381,278,278,,1741.787,
24,OK,2,"[9070, 7808]","[26, 28]","[371, 355]",28,371,371,,2335.937,
25,OK,2,"[9858, 256]","[21, 10]","[392, 225]",21,392,392,,2429.792,
26,OK,2,"[787, 3072]","[18, 10]","[366, 227]",18,366,366,,2269.798,
27,OK,2,"[4360, 4464]","[12, 403]","[306, 102]",403,306,306,,1879.087,
28,OK,2,"[1592, 2279]","[12, 20]","[247, 511]",20,511,511,,3159.86,
29,OK,2,"[9148, 817]","[12, 32]","[132, 285]",32,285,285,,1765.895,
30,OK,2,"[2824, 1252]","[8, 17]","[164, 439]",17,439,439,,2701.814,
31,OK,2,"[2402, 2138]","[11, 6]","[27, 522]",11,522,522,,3168.641,
32,OK,2,"[603, 9216]","[9, 25]","[41, 523]",25,523,523,,3179.405,
33,OK,2,"[8275, 743]","[13, 1376]","[218, 200]",1376,218,218,,1385.739,
34,OK,2,"[829, 3997]","[1024, 57]","[85, 319]",1024,319,319,,1954.668,
35,OK,2,"[1209, 423]","[29, 33]","[201, 372]",33,372,372,,2301.226,
36,OK,2,"[5585, 3713]","[18, 28]","[157, 65]",28,157,157,,967.322,
37,OK,2,"[846, 5715]","[5, 53]","[305, 533]",53,533,533,,3308.347,
38,OK,2,"[6439, 9133]","[219, 8]","[321, 397]",219,397,397,,2492.827,
39,OK,2,"[5555, 909]","[17, 9]","[300, 161]",17,300,300,,1854.055,
40,OK,2,"[3071, 6133]","[27, 58]","[386, 631]",58,631,631,,3922.151,
41,OK,2,"[9258, 4021]","[926, 30]","[356, 292]",926,356,356,,2240.362,
42,OK,2,"[6806, 5401]","[63, 165]","[589, 362]",165,589,589,,3658.197,
43,OK,2,"[726, 9769]","[89, 2677]","[265, 134]",2677,265,265,,1663.51,
44,OK,2,"[4310, 307]","[179, 705]","[725, 332]",705,725,725,,4478.403,
45,OK,2,"[1300, 8318]","[49, 16]","[660, 413]",49,660,660,,4097.244,
46,OK,2,"[2212, 6705]","[64, 15]","[767, 363]",64,767,767,,4732.551,
47,OK,2,"[7407, 1539]","[153, 23]","[185, 50]",153,185,185,,1134.208,
48,OK,2,"[9030, 359]","[12, 46]","[471, 77]",46,471,471,,2868.505,
49,OK,2,"[5118, 376]","[20, 10]","[352, 376]",20,376,376,,2364.601,
